,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
0,0.03316225386657634,0.005206309530195677,0.024734498396765864,0.2430477815148733,0.18287767876131678,0.14726758867851647,0.046722544805879763,0.08088527865398017,0.1831189424678496,0.05297712332404602
1,0.07188837512560885,0.13847595835373996,0.11302683895680969,0.020703112743457437,0.2549968715716775,0.1642986795004577,0.004051295774435986,0.12750425257409498,0.04074587693811432,0.06430873846160329
2,0.01981825613225584,0.018416445325950992,0.0016522007501988893,0.07497001845269802,0.508552027559419,0.009412078202536972,0.04457373574880788,0.16575000834834136,0.14492148120792647,0.011933748271864327
3,0.10023560211575984,0.06717739943646506,0.29511131810968094,0.28613197138126656,0.11803511051573058,0.042187891266195904,0.0016596613686381497,0.06486291056075597,0.01928477661246007,0.005313358633047132
4,0.16936648763191017,0.02812959460057869,0.0010174847448634868,0.0686649651756863,0.13669863139931357,0.16302355067914456,0.10754095490230509,0.09810499656707354,0.025272896855848093,0.20218043744327624
5,0.04060864443256345,0.2825984373347676,0.010038997903815546,0.007709765943496098,0.06755783734169761,0.10831947523137696,0.07371770520734636,0.207439052725065,0.19363932948039847,0.008370754399472977
6,0.043829198720687655,0.1221530355001393,0.06476267686620193,0.09099025448859262,0.19740750252571634,0.043310945920004736,0.11085415180597595,0.04891372272383036,0.1805881351426036,0.09719037630624741
7,0.0954614356513622,0.07066312864798815,0.053188102913100804,0.05713940090335246,0.15069874668563335,0.19483295721290048,0.11825647895102852,0.04711989085164928,0.16477770130768532,0.04786215687529937
8,0.029062290349665603,0.08383465676107488,0.1856672630094365,0.08673947892959954,0.24769395067429112,0.04413457060427269,0.07020560669829302,0.12558251348273688,0.11994242999665347,0.007137239493976134
9,0.02859319192033638,0.3521576360726937,0.09150515772900118,0.03091560808062049,0.019239174551713572,0.06970477462204173,0.240411417038723,0.09278072800660399,0.06108661234574288,0.013605699632523055
10,0.10632448411481246,0.021102138529161554,0.2720441541006652,0.013189489069465621,0.1637841465818639,0.04018376091852678,0.1446453115803568,0.061909193107976795,0.11030107641753013,0.06651624557964071
11,0.1779225806057979,0.05260244642134427,0.2288323973192211,0.013104419385890118,0.011558654514459149,0.14184986154386228,0.15264517002145542,0.07490755063799662,0.0050118091810398505,0.14156511036893304
12,0.15571281120119132,0.20902826048493692,0.0138632808411768,0.08583672437081452,0.00936996774322575,0.2524832729422014,0.05995309894202375,0.14262999172848012,0.03550960416829403,0.0356129875776554
13,0.039603197406991274,0.05402436619845026,0.22544270999827506,0.13459232715878544,0.06901353129548939,0.024888130514027145,0.1263470726693985,0.024744067934394442,0.06500383679294619,0.23634076003124238
14,0.11650968867794435,0.12046793806588213,0.05822429901542273,0.3148715430799442,0.09032084482410464,0.12195930451389339,0.021141228161339797,0.049540725226408865,0.02195923399484965,0.08500519444021024
15,0.15160686918553323,0.035918667765972155,0.13095624628233654,0.033515725621878156,0.3039927179199501,0.03601454937508299,0.09604346589832097,0.031755438039447574,0.13025132645897577,0.04994499345250242
16,0.049211050498314375,0.005119339021631931,0.10048134105187967,0.020004118537530594,0.32456257184373566,0.008644397667000817,0.08354786499378461,0.05917409151801381,0.1661812824967413,0.18307394237136712
17,0.03152539916462712,0.022046467778398735,0.15973353515833086,0.011114335633250826,0.09712260527953183,0.055765813933658225,0.338351312123176,0.0687170220984017,0.009337049153793716,0.20628645967683096
18,0.08311984132877623,0.35253286544562296,0.08370222712362606,0.028362881321291354,0.11885325315188634,0.020586250846384525,0.04082726063757996,0.11019744378632455,0.09102114343691711,0.07079683292159074
19,0.09543642803731653,0.03122758411079819,0.014360664461644013,0.01153165134035748,0.11254580795907292,0.09153028624839192,0.10672542305069717,0.11042284653593513,0.06722441950846417,0.3589948887473225
20,0.12748676955619428,0.18765230041022563,0.01997828524847049,0.012682930524021419,0.07851048718043273,0.08972988782108296,0.32453367266411043,0.063591191524868,0.015025976241950225,0.08080849882864381
21,0.11761606889707328,0.152317239349314,0.16462752674385975,0.1887702309035967,0.03411422353961878,0.004078821852996223,0.06024964283886221,0.10227452370596934,0.05208283946857519,0.12386888270013452
22,0.022689235321258095,0.2329954182652033,0.004110511899649714,0.06440929509292648,0.017265357708662457,0.09600907245206458,0.14921619103041697,0.25060038071640073,0.11699258856467092,0.0457119489487466
23,0.05021944562189797,0.131724451828731,0.004829182971740776,0.34221275249153943,0.17607350607823405,0.014190945645571508,0.062292390982334155,0.06658433259865018,0.01989975441110728,0.13197323737019356
24,0.04348789025176494,0.08337704076801038,0.12854521576253888,0.16822858293284143,0.05808384643053492,0.011333287761847543,0.07128454642902209,0.07420613769927123,0.24296266711754658,0.11849078484662212
25,0.1873099714836205,0.00903793606194609,0.01796942953405133,0.10334838693982834,0.29616361879778713,0.031898600045980836,0.03436307496069932,0.02192483808764649,0.05027110233060271,0.2477130417578374
26,0.036603406990221035,0.10766248793819409,0.06360537870501844,0.014617954901158685,0.29300370256438873,0.0436288596745802,0.15924549538896113,0.20492412686838948,0.0639273435989974,0.012781243370090884
27,0.04116358233186156,0.08033874828086712,0.14707384995904135,0.12906455646646675,0.1932786516316732,0.03724101882286679,0.021532926660820236,0.022386018396796766,0.08316925289548782,0.24475139455411832
28,0.038172374001687256,0.024220239108351884,0.1503309470899192,0.24879655085432342,0.047327406172085876,0.11929692428240371,0.15503097545467842,0.11587177129863642,0.09414619006289655,0.006806621675017359
